poly,proportion
5a6,0.061946902654867256
6a7,0.061946902654867256
10a11,0.05309734513274336
8a9,0.05309734513274336
9a10,0.05309734513274336
5a8,0.05309734513274336
7a12,0.04424778761061947
4a7,0.04424778761061947
5a7,0.04424778761061947
5a9,0.04424778761061947
7a10,0.04424778761061947
4a5,0.04424778761061947
11a12,0.035398230088495575
7a11,0.035398230088495575
9a11,0.035398230088495575
7a9,0.035398230088495575
3a7,0.035398230088495575
8a11,0.02654867256637168
4a9,0.02654867256637168
5a11,0.02654867256637168
6a11,0.02654867256637168
7a8,0.02654867256637168
3a8,0.02654867256637168
2a7,0.017699115044247787
3a4,0.017699115044247787
3a5,0.017699115044247787
2a5,0.008849557522123894
