model,2l-balanced_accuracy_score,2l-f1_macro,1l-balanced_accuracy_score,1l-f1_macro
jukebox,0.999327731092437,0.9986623448696433,0.9994397759103641,0.9992171722622561
mg_large_h,0.9693021821654443,0.9570266059493292,0.9955218895069766,0.9921882028705632
mg_med_h,0.9573416300892547,0.9376593060418961,0.9875738088662694,0.9792989393407515
mg_small_h,0.9503284874033522,0.9321995323671047,0.9624370559331515,0.9410871880404709
mg_audio,0.5508529637007136,0.5093919426206567,0.36948850941835126,0.3507374567081624
baseline_mel,0.645673725288737,0.6279246405840114,0.6787024077436389,0.6160665393909822
baseline_mfcc,0.8112683443170496,0.7361344170678646,0.5904733700492484,0.5506854075509564
baseline_chroma,0.3447190891140194,0.3404636035050907,0.213538127667409,0.19971624038622388
baseline_concat,0.86328843314371,0.8370525948145844,0.8012469644735328,0.7505823569505597
