dataset,baseline_mel,baseline_mfcc,baseline_chroma,baseline_concat,mg_audio,mg_small_h,mg_med_h,mg_large_h,jukebox
polyrhythms,0.4871459694989107,0.7239651416122005,0.36949891067538126,0.7607843137254902,0.7154684095860566,0.9934640522875817,0.99760348583878,0.9997821350762527,1.0
dynamics,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
chords7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
modemix_chordprog,0.9671030547163477,0.8100033568311514,0.9973145350788856,0.9879154078549849,0.8915743538100034,0.9936220208123532,0.9801946962067808,0.9919436052366566,0.9979859013091642
secondary_dominant,0.6203423967774421,0.5782980866062437,0.870845921450151,0.7824773413897281,0.5279456193353474,0.7137462235649547,0.6573514602215509,0.7560422960725075,0.9813695871097684
