model,chords
jukebox,0.9990379990379991
mg_large_h,0.9684143017476351
mg_med_h,0.952701619368286
mg_small_h,0.9432419432419432
mg_audio,0.5375982042648709
baseline_mel,0.6572069905403238
baseline_mfcc,0.772005772005772
baseline_chroma,0.3932980599647266
baseline_concat,0.86002886002886
