model,2l-balanced_accuracy_score,2l-f1_macro,1l-balanced_accuracy_score,1l-f1_macro
jukebox,0.9994405649583777,0.9993294384345836,0.9994397759103641,0.9991063921662009
mg_large_h,0.9620856945315336,0.9638670269132585,0.9932812225879264,0.9930104339570766
mg_med_h,0.948751471420653,0.9524117014037444,0.984498838392614,0.9845772455119954
mg_small_h,0.9395814519994392,0.9393929023142202,0.9590554871434138,0.9570591812776679
mg_audio,0.4414077623857454,0.4215538701838316,0.30926631685538064,0.2760462995737884
baseline_mel,0.6067534283716484,0.6141836505929692,0.5950729267833396,0.5811864271405195
baseline_mfcc,0.7855895993398858,0.8077222434024441,0.4884666698564352,0.49591751897858316
baseline_chroma,0.309171105061743,0.28336508045351555,0.20788600886363937,0.17891126124662726
baseline_concat,0.8289032316552633,0.8441901561197798,0.7325987352287834,0.7527890754466862
