dataset,embedding_type,toml_file,accuracy_score,f1_macro,f1_micro,eval_valid_score,best_trial_obj_value,best_trial_layer_idx,layer_idx,prefix,best_trial_dropout,best_lr_exp,best_weight_decay_exp,num_epochs,batch_size,slurm_job,thresh,num_trials,is_classification,train_on_middle,do_regression_classification,to_nep,eval,debug,prune,grid_search,save_intermediate_model,memmap,classify_by_subcategory,model_type,model_layer_dim,out_dim,confmat,confmat_path
dynamics,mg_audio,None,0.3523809523809524,0.2572077919715309,0.3523809523809524,-1.0,0.38835978835978835,-1,-1,5,0.25,-5.0,-4.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-large,128,7,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-dynamics-mg_audio-cm.png
dynamics,mg_audio,None,0.3523809523809524,0.2572077919715309,0.3523809523809524,-1.0,0.38835978835978835,-1,-1,5,0.25,-5.0,-4.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-large,128,7,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-dynamics-mg_audio-cm.png
dynamics,mg_small_h,None,0.7967078189300412,0.7494606186233211,0.7967078189300412,0.7943562610229277,0.7541446208112875,24,-1,5,0.25,-5.0,-4.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-small,1024,7,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-dynamics-mg_small_h-cm.png
dynamics,mg_small_h,None,0.7967078189300412,0.7494606186233211,0.7967078189300412,0.7943562610229277,0.7541446208112875,24,-1,5,0.25,-5.0,-4.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-small,1024,7,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-dynamics-mg_small_h-cm.png
dynamics,mg_med_h,None,0.2135214579659024,0.09544144899615521,0.2135214579659024,0.21305114638447972,0.6278659611992945,48,-1,5,0.25,-4.0,-4.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-medium,1536,7,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-dynamics-mg_med_h-cm.png
dynamics,mg_med_h,None,0.2135214579659024,0.09544144899615521,0.2135214579659024,0.21305114638447972,0.6278659611992945,48,-1,5,0.25,-4.0,-4.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-medium,1536,7,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-dynamics-mg_med_h-cm.png
dynamics,mg_large_h,None,0.9037037037037037,0.8627096870754644,0.9037037037037037,0.9037037037037037,0.8779541446208113,48,-1,5,0.25,-5.0,-4.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-large,2048,7,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-dynamics-mg_large_h-cm.png
dynamics,mg_large_h,None,0.9037037037037037,0.8627096870754644,0.9037037037037037,0.9037037037037037,0.8779541446208113,48,-1,5,0.25,-5.0,-4.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-large,2048,7,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-dynamics-mg_large_h-cm.png
dynamics,jukebox,None,0.9954144620811287,0.9953830848242449,0.9954144620811287,0.9950617283950617,0.999647266313933,45,-1,5,0.25,-5.0,-4.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,jukebox,4800,7,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-dynamics-jukebox-cm.png
dynamics,jukebox,None,0.9954144620811287,0.9953830848242449,0.9954144620811287,0.9950617283950617,0.999647266313933,45,-1,5,0.25,-5.0,-4.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,jukebox,4800,7,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-dynamics-jukebox-cm.png
chords7,mg_audio,None,0.6929347826086957,0.6932218462100974,0.6929347826086957,-1.0,0.6644021739130435,-1,-1,5,0.25,-5.0,-4.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-large,128,8,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-chords7-mg_audio-cm.png
chords7,mg_audio,None,0.6929347826086957,0.6932218462100974,0.6929347826086957,-1.0,0.6644021739130435,-1,-1,5,0.25,-5.0,-4.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-large,128,8,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-chords7-mg_audio-cm.png
chords7,mg_small_h,None,0.9595410628019324,0.9601442938346847,0.9595410628019324,-1.0,0.9846014492753623,24,-1,5,0.25,-5.0,-4.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-small,1024,8,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-chords7-mg_small_h-cm.png
chords7,mg_small_h,None,0.9595410628019324,0.9601442938346847,0.9595410628019324,-1.0,0.9846014492753623,24,-1,5,0.25,-5.0,-4.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-small,1024,8,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-chords7-mg_small_h-cm.png
chords7,mg_med_h,None,0.9547101449275363,0.9553064940673245,0.9547101449275363,-1.0,0.9850543478260869,48,-1,5,0.5,-5.0,-4.0,250,64,None,0.1,3000,true,None,None,true,1,None,true,None,None,1,None,musicgen-medium,1536,8,None,/nfs/guille/eecs_research/soundbendor/kwand/mtmidi/res/5-chords7-mg_med_h-cm.png
