model,polyrhythms,dynamics,chords7,modemix_chordprog,secondary_dominant
jukebox,53,40,57,55,57
mg_large_h,32,33,42,43,40
mg_med_h,33,29,45,32,32
mg_small_h,9,15,13,10,12
