poly,proportion
2a5,0.08260869565217391
3a5,0.07391304347826087
4a5,0.06956521739130435
3a4,0.06086956521739131
2a3,0.05652173913043478
4a7,0.05217391304347826
3a8,0.04782608695652174
5a8,0.04782608695652174
2a7,0.043478260869565216
3a7,0.043478260869565216
5a7,0.043478260869565216
5a6,0.0391304347826087
6a7,0.0391304347826087
7a8,0.034782608695652174
7a10,0.034782608695652174
4a9,0.02608695652173913
5a9,0.02608695652173913
7a9,0.02608695652173913
7a11,0.021739130434782608
7a12,0.021739130434782608
5a11,0.017391304347826087
6a11,0.017391304347826087
8a9,0.017391304347826087
8a11,0.013043478260869565
9a10,0.013043478260869565
10a11,0.013043478260869565
9a11,0.008695652173913044
11a12,0.008695652173913044
