cluster,max_label,max_proportion
0,T,0.33892453
1,T,0.339004
2,S,0.3357785
3,N,0.33333334
4,N,0.33333334
5,T,0.33606556
6,N,0.33333334
7,S,0.3416771
8,N,0.33532304
9,N,0.33504194
10,S,0.33432835
11,N,0.33532536
