poly,proportion
7a12,0.05668016194331984
11a12,0.05263157894736842
7a9,0.05263157894736842
7a10,0.048582995951417005
9a11,0.048582995951417005
6a7,0.048582995951417005
7a11,0.048582995951417005
8a9,0.048582995951417005
10a11,0.048582995951417005
5a11,0.044534412955465584
6a11,0.044534412955465584
9a10,0.04048582995951417
5a8,0.04048582995951417
7a8,0.04048582995951417
8a11,0.04048582995951417
3a8,0.03643724696356275
4a7,0.03643724696356275
3a7,0.032388663967611336
5a7,0.032388663967611336
5a6,0.024291497975708502
3a5,0.024291497975708502
5a9,0.020242914979757085
2a7,0.020242914979757085
3a4,0.020242914979757085
4a9,0.016194331983805668
4a5,0.016194331983805668
2a5,0.008097165991902834
2a3,0.008097165991902834
