poly,proportion
6a11,0.0759493670886076
7a12,0.0759493670886076
7a9,0.06329113924050633
5a7,0.06329113924050633
5a8,0.06329113924050633
5a9,0.06329113924050633
5a11,0.06329113924050633
5a6,0.06329113924050633
7a10,0.05063291139240506
7a11,0.05063291139240506
6a7,0.05063291139240506
4a7,0.05063291139240506
4a9,0.05063291139240506
8a9,0.0379746835443038
7a8,0.02531645569620253
8a11,0.02531645569620253
9a11,0.02531645569620253
4a5,0.02531645569620253
11a12,0.012658227848101266
9a10,0.012658227848101266
3a4,0.012658227848101266
3a5,0.012658227848101266
3a7,0.012658227848101266
3a8,0.012658227848101266
