poly,proportion
4a9,0.12727272727272726
7a8,0.09090909090909091
5a9,0.07272727272727272
3a4,0.07272727272727272
7a11,0.05454545454545454
8a9,0.05454545454545454
10a11,0.05454545454545454
11a12,0.05454545454545454
2a7,0.05454545454545454
5a6,0.05454545454545454
2a3,0.05454545454545454
7a9,0.03636363636363636
9a10,0.03636363636363636
9a11,0.03636363636363636
4a7,0.03636363636363636
2a5,0.03636363636363636
8a11,0.01818181818181818
5a8,0.01818181818181818
5a11,0.01818181818181818
4a5,0.01818181818181818
