poly,proportion
10a11,0.061224489795918366
8a9,0.061224489795918366
8a11,0.061224489795918366
9a10,0.061224489795918366
9a11,0.061224489795918366
4a5,0.061224489795918366
3a5,0.061224489795918366
3a4,0.061224489795918366
11a12,0.04081632653061224
7a12,0.04081632653061224
7a8,0.04081632653061224
7a9,0.04081632653061224
4a7,0.04081632653061224
5a6,0.04081632653061224
2a7,0.04081632653061224
3a7,0.04081632653061224
3a8,0.04081632653061224
2a5,0.04081632653061224
5a11,0.02040816326530612
6a11,0.02040816326530612
7a10,0.02040816326530612
7a11,0.02040816326530612
5a7,0.02040816326530612
