quality,proportion
augmajor7,0.18891820580474933
minormajor7,0.18786279683377308
augminor7,0.18311345646437996
major7,0.17941952506596306
minor7,0.158311345646438
majorminor7,0.06437994722955145
halfdim7,0.03746701846965699
fulldim7,0.0005277044854881266
