poly,proportion
2a3,0.03715170278637771
2a5,0.03715170278637771
3a4,0.03715170278637771
3a5,0.03715170278637771
3a7,0.03715170278637771
4a5,0.03715170278637771
5a6,0.03715170278637771
4a7,0.0369453044375645
5a7,0.0369453044375645
6a7,0.0369453044375645
2a7,0.03673890608875129
6a11,0.03632610939112487
4a9,0.03611971104231166
5a9,0.03611971104231166
5a11,0.03591331269349845
7a11,0.03591331269349845
7a9,0.035706914344685245
9a11,0.035500515995872034
3a8,0.03529411764705882
7a8,0.03508771929824561
8a9,0.03508771929824561
8a11,0.0348813209494324
5a8,0.0346749226006192
10a11,0.03364293085655315
7a10,0.03323013415892673
7a12,0.03323013415892673
9a10,0.033023735810113516
11a12,0.0326109391124871
