poly,proportion
11a12,0.06451612903225806
8a9,0.06451612903225806
2a7,0.06451612903225806
3a7,0.06451612903225806
5a6,0.06451612903225806
3a5,0.06451612903225806
4a5,0.06451612903225806
2a5,0.06451612903225806
3a4,0.06451612903225806
10a11,0.03225806451612903
5a11,0.03225806451612903
6a11,0.03225806451612903
7a9,0.03225806451612903
7a10,0.03225806451612903
7a11,0.03225806451612903
7a12,0.03225806451612903
8a11,0.03225806451612903
9a10,0.03225806451612903
9a11,0.03225806451612903
4a7,0.03225806451612903
5a7,0.03225806451612903
6a7,0.03225806451612903
