set_type,set_type_count,ratio,count,proportion
test,4590,0.18181818181818182,135,0.029411764705882353
test,4590,0.2222222222222222,135,0.029411764705882353
test,4590,0.2727272727272727,135,0.029411764705882353
test,4590,0.2857142857142857,135,0.029411764705882353
test,4590,0.3,135,0.029411764705882353
test,4590,0.36363636363636365,135,0.029411764705882353
test,4590,0.375,135,0.029411764705882353
test,4590,0.4,135,0.029411764705882353
test,4590,0.4166666666666667,135,0.029411764705882353
test,4590,0.42857142857142855,135,0.029411764705882353
test,4590,0.4444444444444444,135,0.029411764705882353
test,4590,0.45454545454545453,135,0.029411764705882353
test,4590,0.5454545454545454,135,0.029411764705882353
test,4590,0.5555555555555556,135,0.029411764705882353
test,4590,0.5714285714285714,135,0.029411764705882353
test,4590,0.5833333333333334,135,0.029411764705882353
test,4590,0.6,135,0.029411764705882353
test,4590,0.625,135,0.029411764705882353
test,4590,0.6363636363636364,135,0.029411764705882353
test,4590,0.6666666666666666,135,0.029411764705882353
test,4590,0.7,135,0.029411764705882353
test,4590,0.7142857142857143,135,0.029411764705882353
test,4590,0.7272727272727273,135,0.029411764705882353
test,4590,0.75,135,0.029411764705882353
test,4590,0.7777777777777778,135,0.029411764705882353
test,4590,0.8,135,0.029411764705882353
test,4590,0.8181818181818182,135,0.029411764705882353
test,4590,0.8333333333333334,135,0.029411764705882353
test,4590,0.8571428571428571,135,0.029411764705882353
test,4590,0.875,135,0.029411764705882353
test,4590,0.8888888888888888,135,0.029411764705882353
test,4590,0.9,135,0.029411764705882353
test,4590,0.9090909090909091,135,0.029411764705882353
test,4590,0.9166666666666666,135,0.029411764705882353
train,21420,0.18181818181818182,630,0.029411764705882353
train,21420,0.2222222222222222,630,0.029411764705882353
train,21420,0.2727272727272727,630,0.029411764705882353
train,21420,0.2857142857142857,630,0.029411764705882353
train,21420,0.3,630,0.029411764705882353
train,21420,0.36363636363636365,630,0.029411764705882353
train,21420,0.375,630,0.029411764705882353
train,21420,0.4,630,0.029411764705882353
train,21420,0.4166666666666667,630,0.029411764705882353
train,21420,0.42857142857142855,630,0.029411764705882353
train,21420,0.4444444444444444,630,0.029411764705882353
train,21420,0.45454545454545453,630,0.029411764705882353
train,21420,0.5454545454545454,630,0.029411764705882353
train,21420,0.5555555555555556,630,0.029411764705882353
train,21420,0.5714285714285714,630,0.029411764705882353
train,21420,0.5833333333333334,630,0.029411764705882353
train,21420,0.6,630,0.029411764705882353
train,21420,0.625,630,0.029411764705882353
train,21420,0.6363636363636364,630,0.029411764705882353
train,21420,0.6666666666666666,630,0.029411764705882353
train,21420,0.7,630,0.029411764705882353
train,21420,0.7142857142857143,630,0.029411764705882353
train,21420,0.7272727272727273,630,0.029411764705882353
train,21420,0.75,630,0.029411764705882353
train,21420,0.7777777777777778,630,0.029411764705882353
train,21420,0.8,630,0.029411764705882353
train,21420,0.8181818181818182,630,0.029411764705882353
train,21420,0.8333333333333334,630,0.029411764705882353
train,21420,0.8571428571428571,630,0.029411764705882353
train,21420,0.875,630,0.029411764705882353
train,21420,0.8888888888888888,630,0.029411764705882353
train,21420,0.9,630,0.029411764705882353
train,21420,0.9090909090909091,630,0.029411764705882353
train,21420,0.9166666666666666,630,0.029411764705882353
valid,4590,0.18181818181818182,135,0.029411764705882353
valid,4590,0.2222222222222222,135,0.029411764705882353
valid,4590,0.2727272727272727,135,0.029411764705882353
valid,4590,0.2857142857142857,135,0.029411764705882353
valid,4590,0.3,135,0.029411764705882353
valid,4590,0.36363636363636365,135,0.029411764705882353
valid,4590,0.375,135,0.029411764705882353
valid,4590,0.4,135,0.029411764705882353
valid,4590,0.4166666666666667,135,0.029411764705882353
valid,4590,0.42857142857142855,135,0.029411764705882353
valid,4590,0.4444444444444444,135,0.029411764705882353
valid,4590,0.45454545454545453,135,0.029411764705882353
valid,4590,0.5454545454545454,135,0.029411764705882353
valid,4590,0.5555555555555556,135,0.029411764705882353
valid,4590,0.5714285714285714,135,0.029411764705882353
valid,4590,0.5833333333333334,135,0.029411764705882353
valid,4590,0.6,135,0.029411764705882353
valid,4590,0.625,135,0.029411764705882353
valid,4590,0.6363636363636364,135,0.029411764705882353
valid,4590,0.6666666666666666,135,0.029411764705882353
valid,4590,0.7,135,0.029411764705882353
valid,4590,0.7142857142857143,135,0.029411764705882353
valid,4590,0.7272727272727273,135,0.029411764705882353
valid,4590,0.75,135,0.029411764705882353
valid,4590,0.7777777777777778,135,0.029411764705882353
valid,4590,0.8,135,0.029411764705882353
valid,4590,0.8181818181818182,135,0.029411764705882353
valid,4590,0.8333333333333334,135,0.029411764705882353
valid,4590,0.8571428571428571,135,0.029411764705882353
valid,4590,0.875,135,0.029411764705882353
valid,4590,0.8888888888888888,135,0.029411764705882353
valid,4590,0.9,135,0.029411764705882353
valid,4590,0.9090909090909091,135,0.029411764705882353
valid,4590,0.9166666666666666,135,0.029411764705882353
