set_type,set_type_count,bpm,count,proportion
test,4590,60,1545,0.33660130718954245
test,4590,120,1502,0.32723311546840955
test,4590,180,1543,0.33616557734204794
train,21420,60,7102,0.3315592903828198
train,21420,120,7165,0.334500466853408
train,21420,180,7153,0.33394024276377215
valid,4590,60,1553,0.3383442265795207
valid,4590,120,1533,0.33398692810457514
valid,4590,180,1504,0.3276688453159041
