set_type,set_type_count,inst,count,proportion
test,6237,Agogo,1200,0.1924001924001924
test,6237,DSnareDrum1,1304,0.2090748757415424
test,6237,MelodicTom,1272,0.20394420394420396
test,6237,TaikoDrum,1262,0.20234086900753567
test,6237,Woodblock,1199,0.1922398589065256
train,29106,Agogo,5854,0.2011269154126297
train,29106,DSnareDrum1,5772,0.19830962688105547
train,29106,MelodicTom,5767,0.19813784099498385
train,29106,TaikoDrum,5811,0.19964955679241395
train,29106,Woodblock,5902,0.20277605991891706
valid,6237,Agogo,1262,0.20234086900753567
valid,6237,DSnareDrum1,1240,0.19881353214686548
valid,6237,MelodicTom,1277,0.20474587141253808
valid,6237,TaikoDrum,1243,0.19929453262786598
valid,6237,Woodblock,1215,0.19480519480519481
