fold,fold_count,inst,count,proportion
1,1767,AcousticBass,18,0.010186757215619695
1,1767,AcousticGrandPiano,10,0.005659309564233164
1,1767,AcousticGuitar(nylon),18,0.010186757215619695
1,1767,AcousticGuitar(steel),20,0.011318619128466328
1,1767,AltoSax,18,0.010186757215619695
1,1767,Bagpipe,24,0.013582342954159592
1,1767,Banjo,24,0.013582342954159592
1,1767,BaritoneSax,15,0.008488964346349746
1,1767,Bassoon,21,0.011884550084889645
1,1767,BlownBottle,19,0.010752688172043012
1,1767,BrassSection,21,0.011884550084889645
1,1767,BrightAcousticPiano,29,0.016411997736276177
1,1767,Cello,20,0.011318619128466328
1,1767,ChoirAahs,20,0.011318619128466328
1,1767,ChurchOrgan,17,0.009620826259196379
1,1767,Clarinet,18,0.010186757215619695
1,1767,Clavinet,12,0.006791171477079796
1,1767,Contrabass,13,0.007357102433503113
1,1767,DistortionGuitar,18,0.010186757215619695
1,1767,DrawbarOrgan,27,0.015280135823429542
1,1767,Dulcimer,21,0.011884550084889645
1,1767,ElectricBass(finger),22,0.012450481041312961
1,1767,ElectricBass(pick),31,0.01754385964912281
1,1767,ElectricGrandPiano,23,0.013016411997736278
1,1767,ElectricGuitar(clean),19,0.010752688172043012
1,1767,ElectricGuitar(jazz),12,0.006791171477079796
1,1767,ElectricGuitar(muted),16,0.009054895302773062
1,1767,ElectricPiano1,19,0.010752688172043012
1,1767,ElectricPiano2,25,0.014148273910582909
1,1767,EnglishHorn,20,0.011318619128466328
1,1767,Fiddle,34,0.019241652518392757
1,1767,Flute,23,0.013016411997736278
1,1767,FrenchHorn,16,0.009054895302773062
1,1767,FretlessBass,17,0.009620826259196379
1,1767,Harpsichord,26,0.014714204867006225
1,1767,Honky-tonkPiano,23,0.013016411997736278
1,1767,Kalimba,18,0.010186757215619695
1,1767,Koto,17,0.009620826259196379
1,1767,Lead1(square),22,0.012450481041312961
1,1767,Lead2(sawtooth),18,0.010186757215619695
1,1767,Lead3(calliope),22,0.012450481041312961
1,1767,Lead4(chiff),16,0.009054895302773062
1,1767,Lead5(charang),21,0.011884550084889645
1,1767,Lead6(voice),19,0.010752688172043012
1,1767,Lead8(bass+lead),15,0.008488964346349746
1,1767,Marimba,21,0.011884550084889645
1,1767,MusicBox,25,0.014148273910582909
1,1767,MutedTrumpet,24,0.013582342954159592
1,1767,Oboe,14,0.00792303338992643
1,1767,Ocarina,16,0.009054895302773062
1,1767,OrchestralHarp,21,0.011884550084889645
1,1767,OverdrivenGuitar,14,0.00792303338992643
1,1767,Pad1(newage),19,0.010752688172043012
1,1767,Pad2(warm),22,0.012450481041312961
1,1767,Pad3(polysynth),17,0.009620826259196379
1,1767,Pad4(choir),19,0.010752688172043012
1,1767,Pad5(bowed),14,0.00792303338992643
1,1767,Pad6(metallic),20,0.011318619128466328
1,1767,Pad7(halo),12,0.006791171477079796
1,1767,Pad8(sweep),15,0.008488964346349746
1,1767,PanFlute,23,0.013016411997736278
1,1767,PercussiveOrgan,22,0.012450481041312961
1,1767,Piccolo,22,0.012450481041312961
1,1767,PizzicatoStrings,16,0.009054895302773062
1,1767,Recorder,26,0.014714204867006225
1,1767,ReedOrgan,14,0.00792303338992643
1,1767,RockOrgan,16,0.009054895302773062
1,1767,Shamisen,13,0.007357102433503113
1,1767,Shanai,13,0.007357102433503113
1,1767,Sitar,12,0.006791171477079796
1,1767,SlapBass1,15,0.008488964346349746
