fold,fold_count,quality_idx,count,proportion
1,1767,0,221,0.12507074136955293
1,1767,1,221,0.12507074136955293
1,1767,2,221,0.12507074136955293
1,1767,3,221,0.12507074136955293
1,1767,4,220,0.12450481041312961
1,1767,5,221,0.12507074136955293
1,1767,6,221,0.12507074136955293
1,1767,7,221,0.12507074136955293
2,1767,0,221,0.12507074136955293
2,1767,1,221,0.12507074136955293
2,1767,2,221,0.12507074136955293
2,1767,3,221,0.12507074136955293
2,1767,4,220,0.12450481041312961
2,1767,5,221,0.12507074136955293
2,1767,6,221,0.12507074136955293
2,1767,7,221,0.12507074136955293
3,1767,0,221,0.12507074136955293
3,1767,1,221,0.12507074136955293
3,1767,2,221,0.12507074136955293
3,1767,3,221,0.12507074136955293
3,1767,4,220,0.12450481041312961
3,1767,5,221,0.12507074136955293
3,1767,6,221,0.12507074136955293
3,1767,7,221,0.12507074136955293
4,1767,0,221,0.12507074136955293
4,1767,1,221,0.12507074136955293
4,1767,2,221,0.12507074136955293
4,1767,3,221,0.12507074136955293
4,1767,4,220,0.12450481041312961
4,1767,5,221,0.12507074136955293
4,1767,6,221,0.12507074136955293
4,1767,7,221,0.12507074136955293
5,1767,0,221,0.12507074136955293
5,1767,1,221,0.12507074136955293
5,1767,2,221,0.12507074136955293
5,1767,3,220,0.12450481041312961
5,1767,4,221,0.12507074136955293
5,1767,5,221,0.12507074136955293
5,1767,6,221,0.12507074136955293
5,1767,7,221,0.12507074136955293
6,1767,0,221,0.12507074136955293
6,1767,1,221,0.12507074136955293
6,1767,2,221,0.12507074136955293
6,1767,3,220,0.12450481041312961
6,1767,4,221,0.12507074136955293
6,1767,5,221,0.12507074136955293
6,1767,6,221,0.12507074136955293
6,1767,7,221,0.12507074136955293
7,1767,0,221,0.12507074136955293
7,1767,1,221,0.12507074136955293
7,1767,2,221,0.12507074136955293
7,1767,3,220,0.12450481041312961
7,1767,4,221,0.12507074136955293
7,1767,5,221,0.12507074136955293
7,1767,6,221,0.12507074136955293
7,1767,7,221,0.12507074136955293
8,1767,0,221,0.12507074136955293
8,1767,1,221,0.12507074136955293
8,1767,2,221,0.12507074136955293
8,1767,3,220,0.12450481041312961
8,1767,4,221,0.12507074136955293
8,1767,5,221,0.12507074136955293
8,1767,6,221,0.12507074136955293
8,1767,7,221,0.12507074136955293
9,1766,0,221,0.12514156285390715
9,1766,1,221,0.12514156285390715
9,1766,2,220,0.1245753114382786
9,1766,3,221,0.12514156285390715
9,1766,4,221,0.12514156285390715
9,1766,5,221,0.12514156285390715
9,1766,6,221,0.12514156285390715
9,1766,7,220,0.1245753114382786
10,1766,0,221,0.12514156285390715
10,1766,1,221,0.12514156285390715
10,1766,2,220,0.1245753114382786
10,1766,3,221,0.12514156285390715
10,1766,4,221,0.12514156285390715
10,1766,5,221,0.12514156285390715
10,1766,6,221,0.12514156285390715
10,1766,7,220,0.1245753114382786
11,1766,0,221,0.12514156285390715
11,1766,1,221,0.12514156285390715
11,1766,2,220,0.1245753114382786
11,1766,3,221,0.12514156285390715
11,1766,4,221,0.12514156285390715
11,1766,5,221,0.12514156285390715
11,1766,6,221,0.12514156285390715
11,1766,7,220,0.1245753114382786
12,1766,0,221,0.12514156285390715
12,1766,1,221,0.12514156285390715
12,1766,2,220,0.1245753114382786
12,1766,3,221,0.12514156285390715
12,1766,4,221,0.12514156285390715
12,1766,5,221,0.12514156285390715
12,1766,6,221,0.12514156285390715
12,1766,7,220,0.1245753114382786
13,1766,0,221,0.12514156285390715
13,1766,1,220,0.1245753114382786
13,1766,2,221,0.12514156285390715
13,1766,3,221,0.12514156285390715
13,1766,4,221,0.12514156285390715
13,1766,5,221,0.12514156285390715
13,1766,6,220,0.1245753114382786
13,1766,7,221,0.12514156285390715
14,1766,0,221,0.12514156285390715
14,1766,1,220,0.1245753114382786
14,1766,2,221,0.12514156285390715
14,1766,3,221,0.12514156285390715
14,1766,4,221,0.12514156285390715
14,1766,5,221,0.12514156285390715
14,1766,6,220,0.1245753114382786
14,1766,7,221,0.12514156285390715
15,1766,0,221,0.12514156285390715
15,1766,1,220,0.1245753114382786
15,1766,2,221,0.12514156285390715
15,1766,3,221,0.12514156285390715
15,1766,4,221,0.12514156285390715
15,1766,5,221,0.12514156285390715
15,1766,6,220,0.1245753114382786
15,1766,7,221,0.12514156285390715
16,1766,0,221,0.12514156285390715
16,1766,1,220,0.1245753114382786
16,1766,2,221,0.12514156285390715
16,1766,3,221,0.12514156285390715
16,1766,4,221,0.12514156285390715
16,1766,5,221,0.12514156285390715
16,1766,6,220,0.1245753114382786
16,1766,7,221,0.12514156285390715
17,1766,0,220,0.1245753114382786
17,1766,1,221,0.12514156285390715
17,1766,2,221,0.12514156285390715
17,1766,3,221,0.12514156285390715
17,1766,4,221,0.12514156285390715
17,1766,5,220,0.1245753114382786
17,1766,6,221,0.12514156285390715
17,1766,7,221,0.12514156285390715
18,1766,0,220,0.1245753114382786
18,1766,1,221,0.12514156285390715
18,1766,2,221,0.12514156285390715
18,1766,3,221,0.12514156285390715
18,1766,4,221,0.12514156285390715
18,1766,5,220,0.1245753114382786
18,1766,6,221,0.12514156285390715
18,1766,7,221,0.12514156285390715
19,1766,0,220,0.1245753114382786
19,1766,1,221,0.12514156285390715
19,1766,2,221,0.12514156285390715
19,1766,3,221,0.12514156285390715
19,1766,4,221,0.12514156285390715
19,1766,5,220,0.1245753114382786
19,1766,6,221,0.12514156285390715
19,1766,7,221,0.12514156285390715
20,1766,0,220,0.1245753114382786
20,1766,1,221,0.12514156285390715
20,1766,2,221,0.12514156285390715
20,1766,3,221,0.12514156285390715
20,1766,4,221,0.12514156285390715
20,1766,5,220,0.1245753114382786
20,1766,6,221,0.12514156285390715
20,1766,7,221,0.12514156285390715
