set_type,set_type_count,offset_ms,count,proportion
test,6237,0,2034,0.32611832611832614
test,6237,264,2127,0.341029341029341
test,6237,431,2076,0.33285233285233284
train,29106,0,9710,0.3336081907510479
train,29106,264,9690,0.3329210472067615
train,29106,431,9706,0.3334707620421906
valid,6237,0,2116,0.3392656725990059
valid,6237,264,2043,0.32756132756132755
valid,6237,431,2078,0.33317299983966653
