fold,fold_count,bpm,count,proportion
1,1767,60,1767,1.0
2,1767,60,1767,1.0
3,1767,60,1767,1.0
4,1767,60,1767,1.0
5,1767,60,1767,1.0
6,1767,60,1767,1.0
7,1767,60,1767,1.0
8,1767,60,1767,1.0
9,1766,60,1766,1.0
10,1766,60,1766,1.0
11,1766,60,1766,1.0
12,1766,60,1766,1.0
13,1766,60,1766,1.0
14,1766,60,1766,1.0
15,1766,60,1766,1.0
16,1766,60,1766,1.0
17,1766,60,1766,1.0
18,1766,60,1766,1.0
19,1766,60,1766,1.0
20,1766,60,1766,1.0
