fold,fold_count,orig_prog,count,proportion
1,994,maj-1451,111,0.11167002012072436
1,994,maj-1465,110,0.11066398390342053
1,994,maj-1564,111,0.11167002012072436
1,994,maj-1645,110,0.11066398390342053
1,994,maj-2516,110,0.11066398390342053
1,994,maj-4156,111,0.11167002012072436
1,994,maj-5415,110,0.11066398390342053
1,994,maj-5641,111,0.11167002012072436
1,994,maj-6415,110,0.11066398390342053
2,994,maj-1451,111,0.11167002012072436
2,994,maj-1465,110,0.11066398390342053
2,994,maj-1564,111,0.11167002012072436
2,994,maj-1645,110,0.11066398390342053
2,994,maj-2516,110,0.11066398390342053
2,994,maj-4156,111,0.11167002012072436
2,994,maj-5415,110,0.11066398390342053
2,994,maj-5641,111,0.11167002012072436
2,994,maj-6415,110,0.11066398390342053
3,994,maj-1451,111,0.11167002012072436
3,994,maj-1465,110,0.11066398390342053
3,994,maj-1564,111,0.11167002012072436
3,994,maj-1645,110,0.11066398390342053
3,994,maj-2516,110,0.11066398390342053
3,994,maj-4156,111,0.11167002012072436
3,994,maj-5415,110,0.11066398390342053
3,994,maj-5641,111,0.11167002012072436
3,994,maj-6415,110,0.11066398390342053
4,994,maj-1451,111,0.11167002012072436
4,994,maj-1465,110,0.11066398390342053
4,994,maj-1564,111,0.11167002012072436
4,994,maj-1645,110,0.11066398390342053
4,994,maj-2516,110,0.11066398390342053
4,994,maj-4156,111,0.11167002012072436
4,994,maj-5415,110,0.11066398390342053
4,994,maj-5641,111,0.11167002012072436
4,994,maj-6415,110,0.11066398390342053
5,994,maj-1451,111,0.11167002012072436
5,994,maj-1465,110,0.11066398390342053
5,994,maj-1564,110,0.11066398390342053
5,994,maj-1645,111,0.11167002012072436
5,994,maj-2516,110,0.11066398390342053
5,994,maj-4156,111,0.11167002012072436
5,994,maj-5415,110,0.11066398390342053
5,994,maj-5641,110,0.11066398390342053
5,994,maj-6415,111,0.11167002012072436
6,994,maj-1451,111,0.11167002012072436
6,994,maj-1465,110,0.11066398390342053
6,994,maj-1564,110,0.11066398390342053
6,994,maj-1645,111,0.11167002012072436
6,994,maj-2516,110,0.11066398390342053
6,994,maj-4156,111,0.11167002012072436
6,994,maj-5415,110,0.11066398390342053
6,994,maj-5641,110,0.11066398390342053
6,994,maj-6415,111,0.11167002012072436
7,994,maj-1451,111,0.11167002012072436
7,994,maj-1465,110,0.11066398390342053
7,994,maj-1564,110,0.11066398390342053
7,994,maj-1645,111,0.11167002012072436
7,994,maj-2516,110,0.11066398390342053
7,994,maj-4156,111,0.11167002012072436
7,994,maj-5415,110,0.11066398390342053
7,994,maj-5641,110,0.11066398390342053
7,994,maj-6415,111,0.11167002012072436
8,994,maj-1451,111,0.11167002012072436
8,994,maj-1465,110,0.11066398390342053
8,994,maj-1564,110,0.11066398390342053
8,994,maj-1645,111,0.11167002012072436
8,994,maj-2516,110,0.11066398390342053
8,994,maj-4156,111,0.11167002012072436
8,994,maj-5415,110,0.11066398390342053
8,994,maj-5641,110,0.11066398390342053
8,994,maj-6415,111,0.11167002012072436
9,994,maj-1451,110,0.11066398390342053
9,994,maj-1465,111,0.11167002012072436
9,994,maj-1564,110,0.11066398390342053
9,994,maj-1645,111,0.11167002012072436
9,994,maj-2516,110,0.11066398390342053
9,994,maj-4156,110,0.11066398390342053
9,994,maj-5415,111,0.11167002012072436
9,994,maj-5641,110,0.11066398390342053
9,994,maj-6415,111,0.11167002012072436
10,994,maj-1451,110,0.11066398390342053
10,994,maj-1465,111,0.11167002012072436
10,994,maj-1564,110,0.11066398390342053
10,994,maj-1645,111,0.11167002012072436
10,994,maj-2516,110,0.11066398390342053
10,994,maj-4156,110,0.11066398390342053
10,994,maj-5415,111,0.11167002012072436
10,994,maj-5641,110,0.11066398390342053
10,994,maj-6415,111,0.11167002012072436
11,994,maj-1451,110,0.11066398390342053
11,994,maj-1465,111,0.11167002012072436
11,994,maj-1564,110,0.11066398390342053
11,994,maj-1645,111,0.11167002012072436
11,994,maj-2516,110,0.11066398390342053
11,994,maj-4156,110,0.11066398390342053
11,994,maj-5415,111,0.11167002012072436
11,994,maj-5641,110,0.11066398390342053
11,994,maj-6415,111,0.11167002012072436
12,994,maj-1451,110,0.11066398390342053
12,994,maj-1465,111,0.11167002012072436
12,994,maj-1564,110,0.11066398390342053
12,994,maj-1645,111,0.11167002012072436
12,994,maj-2516,110,0.11066398390342053
12,994,maj-4156,110,0.11066398390342053
12,994,maj-5415,111,0.11167002012072436
12,994,maj-5641,110,0.11066398390342053
12,994,maj-6415,111,0.11167002012072436
13,993,maj-1451,110,0.1107754279959718
13,993,maj-1465,111,0.11178247734138973
13,993,maj-1564,110,0.1107754279959718
13,993,maj-1645,110,0.1107754279959718
13,993,maj-2516,111,0.11178247734138973
13,993,maj-4156,110,0.1107754279959718
13,993,maj-5415,111,0.11178247734138973
13,993,maj-5641,110,0.1107754279959718
13,993,maj-6415,110,0.1107754279959718
14,993,maj-1451,110,0.1107754279959718
14,993,maj-1465,111,0.11178247734138973
14,993,maj-1564,110,0.1107754279959718
14,993,maj-1645,110,0.1107754279959718
14,993,maj-2516,111,0.11178247734138973
14,993,maj-4156,110,0.1107754279959718
14,993,maj-5415,111,0.11178247734138973
14,993,maj-5641,110,0.1107754279959718
14,993,maj-6415,110,0.1107754279959718
15,993,maj-1451,110,0.1107754279959718
15,993,maj-1465,111,0.11178247734138973
15,993,maj-1564,110,0.1107754279959718
15,993,maj-1645,110,0.1107754279959718
15,993,maj-2516,111,0.11178247734138973
15,993,maj-4156,110,0.1107754279959718
15,993,maj-5415,111,0.11178247734138973
15,993,maj-5641,110,0.1107754279959718
15,993,maj-6415,110,0.1107754279959718
16,993,maj-1451,110,0.1107754279959718
16,993,maj-1465,111,0.11178247734138973
16,993,maj-1564,110,0.1107754279959718
16,993,maj-1645,110,0.1107754279959718
16,993,maj-2516,111,0.11178247734138973
16,993,maj-4156,110,0.1107754279959718
16,993,maj-5415,111,0.11178247734138973
16,993,maj-5641,110,0.1107754279959718
16,993,maj-6415,110,0.1107754279959718
17,993,maj-1451,110,0.1107754279959718
17,993,maj-1465,110,0.1107754279959718
17,993,maj-1564,111,0.11178247734138973
17,993,maj-1645,110,0.1107754279959718
17,993,maj-2516,111,0.11178247734138973
17,993,maj-4156,110,0.1107754279959718
17,993,maj-5415,110,0.1107754279959718
17,993,maj-5641,111,0.11178247734138973
17,993,maj-6415,110,0.1107754279959718
18,993,maj-1451,110,0.1107754279959718
18,993,maj-1465,110,0.1107754279959718
18,993,maj-1564,111,0.11178247734138973
18,993,maj-1645,110,0.1107754279959718
18,993,maj-2516,111,0.11178247734138973
18,993,maj-4156,110,0.1107754279959718
18,993,maj-5415,110,0.1107754279959718
18,993,maj-5641,111,0.11178247734138973
18,993,maj-6415,110,0.1107754279959718
19,993,maj-1451,110,0.1107754279959718
19,993,maj-1465,110,0.1107754279959718
19,993,maj-1564,111,0.11178247734138973
19,993,maj-1645,110,0.1107754279959718
19,993,maj-2516,111,0.11178247734138973
19,993,maj-4156,110,0.1107754279959718
19,993,maj-5415,110,0.1107754279959718
19,993,maj-5641,111,0.11178247734138973
19,993,maj-6415,110,0.1107754279959718
20,993,maj-1451,110,0.1107754279959718
20,993,maj-1465,110,0.1107754279959718
20,993,maj-1564,111,0.11178247734138973
20,993,maj-1645,110,0.1107754279959718
20,993,maj-2516,111,0.11178247734138973
20,993,maj-4156,110,0.1107754279959718
20,993,maj-5415,110,0.1107754279959718
20,993,maj-5641,111,0.11178247734138973
20,993,maj-6415,110,0.1107754279959718
