set_type,set_type_count,inst,count,proportion
test,3972,AcousticBass,41,0.010322255790533736
test,3972,AcousticGrandPiano,49,0.012336354481369587
test,3972,AcousticGuitar(nylon),40,0.010070493454179255
test,3972,AcousticGuitar(steel),49,0.012336354481369587
test,3972,AltoSax,33,0.008308157099697885
test,3972,Bagpipe,47,0.011832829808660624
test,3972,Banjo,37,0.00931520644511581
test,3972,BaritoneSax,45,0.011329305135951661
test,3972,Bassoon,47,0.011832829808660624
test,3972,BlownBottle,42,0.010574018126888218
test,3972,BrassSection,34,0.008559919436052367
test,3972,BrightAcousticPiano,47,0.011832829808660624
test,3972,Cello,45,0.011329305135951661
test,3972,ChoirAahs,48,0.012084592145015106
test,3972,ChurchOrgan,43,0.0108257804632427
test,3972,Clarinet,43,0.0108257804632427
test,3972,Clavinet,55,0.013846928499496475
test,3972,Contrabass,41,0.010322255790533736
test,3972,DistortionGuitar,46,0.011581067472306143
test,3972,DrawbarOrgan,48,0.012084592145015106
test,3972,Dulcimer,36,0.00906344410876133
test,3972,ElectricBass(finger),55,0.013846928499496475
test,3972,ElectricBass(pick),40,0.010070493454179255
test,3972,ElectricGrandPiano,45,0.011329305135951661
test,3972,ElectricGuitar(clean),55,0.013846928499496475
test,3972,ElectricGuitar(jazz),51,0.01283987915407855
test,3972,ElectricGuitar(muted),37,0.00931520644511581
test,3972,ElectricPiano1,44,0.01107754279959718
test,3972,ElectricPiano2,39,0.009818731117824773
test,3972,EnglishHorn,45,0.011329305135951661
test,3972,Fiddle,49,0.012336354481369587
test,3972,Flute,43,0.0108257804632427
test,3972,FrenchHorn,28,0.007049345417925478
test,3972,FretlessBass,49,0.012336354481369587
test,3972,Harpsichord,38,0.009566968781470292
test,3972,Honky-tonkPiano,42,0.010574018126888218
test,3972,Kalimba,41,0.010322255790533736
test,3972,Koto,52,0.013091641490433032
test,3972,Lead1(square),44,0.01107754279959718
test,3972,Lead2(sawtooth),42,0.010574018126888218
test,3972,Lead3(calliope),37,0.00931520644511581
test,3972,Lead4(chiff),38,0.009566968781470292
test,3972,Lead5(charang),35,0.008811681772406849
test,3972,Lead6(voice),39,0.009818731117824773
test,3972,Lead8(bass+lead),42,0.010574018126888218
test,3972,Marimba,40,0.010070493454179255
test,3972,MusicBox,31,0.007804632426988922
test,3972,MutedTrumpet,48,0.012084592145015106
test,3972,Oboe,35,0.008811681772406849
test,3972,Ocarina,46,0.011581067472306143
test,3972,OrchestralHarp,55,0.013846928499496475
test,3972,OverdrivenGuitar,39,0.009818731117824773
test,3972,Pad1(newage),48,0.012084592145015106
test,3972,Pad2(warm),44,0.01107754279959718
test,3972,Pad3(polysynth),38,0.009566968781470292
test,3972,Pad4(choir),42,0.010574018126888218
test,3972,Pad5(bowed),42,0.010574018126888218
test,3972,Pad6(metallic),40,0.010070493454179255
test,3972,Pad7(halo),47,0.011832829808660624
test,3972,Pad8(sweep),45,0.011329305135951661
test,3972,PanFlute,40,0.010070493454179255
test,3972,PercussiveOrgan,44,0.01107754279959718
test,3972,Piccolo,46,0.011581067472306143
test,3972,PizzicatoStrings,39,0.009818731117824773
test,3972,Recorder,39,0.009818731117824773
test,3972,ReedOrgan,43,0.0108257804632427
test,3972,RockOrgan,36,0.00906344410876133
test,3972,Shamisen,42,0.010574018126888218
test,3972,Shanai,45,0.011329305135951661
test,3972,Sitar,40,0.010070493454179255
test,3972,SlapBass1,44,0.01107754279959718
test,3972,SlapBass2,59,0.014853977844914401
test,3972,SopranoSax,51,0.01283987915407855
test,3972,StringEnsemble1,47,0.011832829808660624
test,3972,StringEnsemble2,35,0.008811681772406849
test,3972,SynthBass1,42,0.010574018126888218
test,3972,SynthBass2,50,0.012588116817724069
test,3972,SynthBrass1,50,0.012588116817724069
test,3972,SynthBrass2,50,0.012588116817724069
test,3972,SynthStrings1,43,0.0108257804632427
test,3972,SynthStrings2,39,0.009818731117824773
test,3972,SynthVoice,35,0.008811681772406849
test,3972,TenorSax,46,0.011581067472306143
test,3972,TremoloStrings,38,0.009566968781470292
test,3972,Trombone,43,0.0108257804632427
test,3972,Trumpet,39,0.009818731117824773
test,3972,Tuba,34,0.008559919436052367
test,3972,Vibraphone,47,0.011832829808660624
test,3972,Viola,48,0.012084592145015106
test,3972,Violin,48,0.012084592145015106
test,3972,VoiceOohs,40,0.010070493454179255
test,3972,Xylophone,44,0.01107754279959718
train,18550,AcousticBass,212,0.011428571428571429
train,18550,AcousticGrandPiano,200,0.010781671159029648
train,18550,AcousticGuitar(nylon),205,0.01105121293800539
train,18550,AcousticGuitar(steel),200,0.010781671159029648
train,18550,AltoSax,203,0.010943396226415094
train,18550,Bagpipe,187,0.010080862533692721
train,18550,Banjo,213,0.011482479784366577
train,18550,BaritoneSax,192,0.010350404312668463
train,18550,Bassoon,198,0.010673854447439353
train,18550,BlownBottle,198,0.010673854447439353
train,18550,BrassSection,204,0.010997304582210243
train,18550,BrightAcousticPiano,199,0.010727762803234502
train,18550,Cello,197,0.010619946091644204
train,18550,ChoirAahs,196,0.010566037735849056
train,18550,ChurchOrgan,209,0.011266846361185983
train,18550,Clarinet,205,0.01105121293800539
train,18550,Clavinet,193,0.010404312668463611
train,18550,Contrabass,209,0.011266846361185983
train,18550,DistortionGuitar,204,0.010997304582210243
train,18550,DrawbarOrgan,196,0.010566037735849056
train,18550,Dulcimer,209,0.011266846361185983
