fold,fold_count,dyn1,count,proportion
1,2079,f,18,0.008658008658008658
1,2079,ff,11,0.005291005291005292
1,2079,mf,16,0.007696007696007696
1,2079,mp,655,0.3150553150553151
1,2079,p,679,0.3265993265993266
1,2079,pp,700,0.3367003367003367
2,2079,f,12,0.005772005772005772
2,2079,ff,16,0.007696007696007696
2,2079,mf,14,0.006734006734006735
2,2079,mp,697,0.33525733525733525
2,2079,p,650,0.3126503126503127
2,2079,pp,690,0.3318903318903319
3,2079,f,16,0.007696007696007696
3,2079,ff,17,0.008177008177008177
3,2079,mf,21,0.010101010101010102
3,2079,mp,692,0.33285233285233284
3,2079,p,629,0.30254930254930257
3,2079,pp,704,0.33862433862433866
4,2079,f,14,0.006734006734006735
4,2079,ff,19,0.00913900913900914
4,2079,mf,14,0.006734006734006735
4,2079,mp,703,0.33814333814333813
4,2079,p,681,0.32756132756132755
4,2079,pp,648,0.3116883116883117
5,2079,f,16,0.007696007696007696
5,2079,ff,13,0.006253006253006253
5,2079,mf,17,0.008177008177008177
5,2079,mp,670,0.32227032227032226
5,2079,p,667,0.32082732082732085
5,2079,pp,696,0.3347763347763348
6,2079,f,19,0.00913900913900914
6,2079,ff,15,0.007215007215007215
6,2079,mf,16,0.007696007696007696
6,2079,mp,668,0.3213083213083213
6,2079,p,710,0.34151034151034154
6,2079,pp,651,0.31313131313131315
7,2079,f,12,0.005772005772005772
7,2079,ff,20,0.00962000962000962
7,2079,mf,17,0.008177008177008177
7,2079,mp,676,0.32515632515632514
7,2079,p,685,0.3294853294853295
7,2079,pp,669,0.3217893217893218
8,2079,f,12,0.005772005772005772
8,2079,ff,14,0.006734006734006735
8,2079,mf,14,0.006734006734006735
8,2079,mp,682,0.3280423280423281
8,2079,p,674,0.3241943241943242
8,2079,pp,683,0.32852332852332855
9,2079,f,14,0.006734006734006735
9,2079,ff,17,0.008177008177008177
9,2079,mf,16,0.007696007696007696
9,2079,mp,678,0.32611832611832614
9,2079,p,686,0.32996632996632996
9,2079,pp,668,0.3213083213083213
10,2079,f,17,0.008177008177008177
10,2079,ff,13,0.006253006253006253
10,2079,mf,14,0.006734006734006735
10,2079,mp,654,0.31457431457431456
10,2079,p,684,0.329004329004329
10,2079,pp,697,0.33525733525733525
11,2079,f,20,0.00962000962000962
11,2079,ff,15,0.007215007215007215
11,2079,mf,17,0.008177008177008177
11,2079,mp,662,0.31842231842231844
11,2079,p,693,0.33333333333333337
11,2079,pp,672,0.32323232323232326
12,2079,f,18,0.008658008658008658
12,2079,ff,19,0.00913900913900914
12,2079,mf,12,0.005772005772005772
12,2079,mp,663,0.3189033189033189
12,2079,p,676,0.32515632515632514
12,2079,pp,691,0.3323713323713324
13,2079,f,17,0.008177008177008177
13,2079,ff,11,0.005291005291005292
13,2079,mf,26,0.012506012506012507
13,2079,mp,702,0.33766233766233766
13,2079,p,659,0.31697931697931697
13,2079,pp,664,0.3193843193843194
14,2079,f,10,0.00481000481000481
14,2079,ff,19,0.00913900913900914
14,2079,mf,17,0.008177008177008177
14,2079,mp,652,0.3136123136123136
14,2079,p,729,0.35064935064935066
14,2079,pp,652,0.3136123136123136
15,2079,f,15,0.007215007215007215
15,2079,ff,16,0.007696007696007696
15,2079,mf,13,0.006253006253006253
15,2079,mp,703,0.33814333814333813
15,2079,p,668,0.3213083213083213
15,2079,pp,664,0.3193843193843194
16,2079,f,20,0.00962000962000962
16,2079,ff,21,0.010101010101010102
16,2079,mf,14,0.006734006734006735
16,2079,mp,676,0.32515632515632514
16,2079,p,658,0.3164983164983165
16,2079,pp,690,0.3318903318903319
17,2079,f,15,0.007215007215007215
17,2079,ff,19,0.00913900913900914
17,2079,mf,13,0.006253006253006253
17,2079,mp,661,0.31794131794131797
17,2079,p,706,0.3395863395863396
17,2079,pp,665,0.31986531986531985
18,2079,f,21,0.010101010101010102
18,2079,ff,19,0.00913900913900914
18,2079,mf,10,0.00481000481000481
18,2079,mp,662,0.31842231842231844
18,2079,p,669,0.3217893217893218
18,2079,pp,698,0.3357383357383357
19,2079,f,10,0.00481000481000481
19,2079,ff,8,0.003848003848003848
19,2079,mf,19,0.00913900913900914
19,2079,mp,710,0.34151034151034154
19,2079,p,675,0.3246753246753247
19,2079,pp,657,0.31601731601731603
20,2079,f,19,0.00913900913900914
20,2079,ff,13,0.006253006253006253
20,2079,mf,15,0.007215007215007215
20,2079,mp,679,0.3265993265993266
20,2079,p,667,0.32082732082732085
20,2079,pp,686,0.32996632996632996
