fold,fold_count,inv,count,proportion
1,1325,0,1325,1.0
2,1325,0,1325,1.0
3,1325,0,1325,1.0
4,1325,0,1325,1.0
5,1325,0,1325,1.0
6,1325,0,1325,1.0
7,1325,0,1325,1.0
8,1325,0,1325,1.0
9,1325,0,1325,1.0
10,1325,0,1325,1.0
11,1325,0,1325,1.0
12,1325,0,1325,1.0
13,1325,0,1325,1.0
14,1325,0,1325,1.0
15,1325,0,1325,1.0
16,1325,0,1325,1.0
17,1324,0,1324,1.0
18,1324,0,1324,1.0
19,1324,0,1324,1.0
20,1324,0,1324,1.0
