set_type,set_type_count,inst1,count,proportion
test,4590,Agogo,935,0.2037037037037037
test,4590,D:SnareDrum1,910,0.19825708061002179
test,4590,MelodicTom,925,0.20152505446623092
test,4590,TaikoDrum,878,0.19128540305010894
test,4590,Woodblock,942,0.20522875816993463
train,21420,Agogo,4280,0.19981325863678803
train,21420,D:SnareDrum1,4281,0.19985994397759102
train,21420,MelodicTom,4278,0.19971988795518206
train,21420,TaikoDrum,4302,0.20084033613445376
train,21420,Woodblock,4279,0.19976657329598504
valid,4590,Agogo,905,0.1971677559912854
valid,4590,D:SnareDrum1,929,0.20239651416122004
valid,4590,MelodicTom,917,0.19978213507625273
valid,4590,TaikoDrum,940,0.2047930283224401
valid,4590,Woodblock,899,0.19586056644880173
