poly,proportion
9a11,0.08064516129032258
10a11,0.08064516129032258
11a12,0.08064516129032258
8a9,0.07258064516129033
8a11,0.07258064516129033
9a10,0.07258064516129033
7a10,0.06451612903225806
7a11,0.06451612903225806
7a12,0.06451612903225806
6a11,0.056451612903225805
7a9,0.056451612903225805
5a11,0.04032258064516129
6a7,0.04032258064516129
7a8,0.04032258064516129
5a8,0.03225806451612903
5a6,0.024193548387096774
5a7,0.024193548387096774
5a9,0.016129032258064516
3a8,0.008064516129032258
4a9,0.008064516129032258
