dyn_category,proportion
subf,0.19367909238249595
hairpin,0.1920583468395462
revhairpin,0.1847649918962723
subp,0.17341977309562398
flat,0.1312803889789303
cresc,0.06482982171799027
decresc,0.059967585089141004
