pair,count
D:SnareDrum1_Woodblock,1350
Agogo_MelodicTom,1350
Agogo_Woodblock,1350
D:SnareDrum1_TaikoDrum,1350
TaikoDrum_Woodblock,1350
MelodicTom_Woodblock,1350
Agogo_D:SnareDrum1,1350
MelodicTom_TaikoDrum,1350
D:SnareDrum1_MelodicTom,1350
Agogo_TaikoDrum,1350
