pair,count
D:SnareDrum1_Woodblock,1350
MelodicTom_Woodblock,1350
TaikoDrum_Woodblock,1350
Agogo_D:SnareDrum1,1350
Agogo_Woodblock,1350
Agogo_MelodicTom,1350
Agogo_TaikoDrum,1350
