poly,count
8a9,540
9a11,540
8a11,540
2a3,540
3a8,540
2a5,540
4a7,540
7a8,540
6a7,540
2a7,540
7a10,540
3a7,540
3a5,540
3a4,540
7a9,540
5a9,540
5a8,540
4a9,540
9a10,540
5a7,540
6a11,540
5a6,540
10a11,540
4a5,540
7a11,540
