poly,proportion
3a4,0.07575757575757576
8a9,0.06060606060606061
9a10,0.06060606060606061
9a11,0.06060606060606061
10a11,0.06060606060606061
4a5,0.06060606060606061
11a12,0.045454545454545456
5a6,0.045454545454545456
3a8,0.030303030303030304
4a9,0.030303030303030304
5a8,0.030303030303030304
5a9,0.030303030303030304
5a11,0.030303030303030304
6a11,0.030303030303030304
7a8,0.030303030303030304
7a9,0.030303030303030304
7a10,0.030303030303030304
7a11,0.030303030303030304
7a12,0.030303030303030304
8a11,0.030303030303030304
2a5,0.030303030303030304
3a5,0.030303030303030304
2a3,0.030303030303030304
2a7,0.015151515151515152
3a7,0.015151515151515152
4a7,0.015151515151515152
5a7,0.015151515151515152
6a7,0.015151515151515152
