poly,proportion
4a5,0.07446808510638298
3a8,0.06382978723404255
5a6,0.06382978723404255
4a7,0.05319148936170213
5a7,0.05319148936170213
2a7,0.05319148936170213
3a5,0.05319148936170213
2a5,0.05319148936170213
3a4,0.05319148936170213
9a11,0.0425531914893617
10a11,0.0425531914893617
11a12,0.0425531914893617
3a7,0.0425531914893617
2a3,0.0425531914893617
8a11,0.031914893617021274
9a10,0.031914893617021274
5a11,0.02127659574468085
6a11,0.02127659574468085
7a8,0.02127659574468085
7a9,0.02127659574468085
7a10,0.02127659574468085
7a11,0.02127659574468085
7a12,0.02127659574468085
8a9,0.02127659574468085
4a9,0.010638297872340425
5a9,0.010638297872340425
5a8,0.010638297872340425
