poly,proportion
5a9,0.05504587155963303
2a3,0.05198776758409786
2a5,0.05198776758409786
5a6,0.05198776758409786
3a5,0.04892966360856269
4a5,0.04892966360856269
9a10,0.04892966360856269
2a7,0.04281345565749235
3a4,0.04281345565749235
5a8,0.039755351681957186
4a7,0.03669724770642202
4a9,0.03669724770642202
5a11,0.03669724770642202
6a7,0.03669724770642202
3a7,0.03363914373088685
7a9,0.03363914373088685
3a8,0.03058103975535168
5a7,0.03058103975535168
6a11,0.03058103975535168
7a10,0.03058103975535168
7a8,0.027522935779816515
8a9,0.027522935779816515
9a11,0.024464831804281346
10a11,0.024464831804281346
7a11,0.021406727828746176
7a12,0.021406727828746176
11a12,0.021406727828746176
8a11,0.012232415902140673
