poly,proportion
8a11,0.08163265306122448
9a10,0.08163265306122448
4a5,0.08163265306122448
7a11,0.061224489795918366
9a11,0.061224489795918366
10a11,0.061224489795918366
7a8,0.061224489795918366
3a4,0.061224489795918366
11a12,0.04081632653061224
7a9,0.04081632653061224
7a10,0.04081632653061224
8a9,0.04081632653061224
4a7,0.04081632653061224
5a6,0.04081632653061224
3a5,0.04081632653061224
5a11,0.02040816326530612
6a11,0.02040816326530612
4a9,0.02040816326530612
5a7,0.02040816326530612
5a8,0.02040816326530612
5a9,0.02040816326530612
6a7,0.02040816326530612
2a3,0.02040816326530612
