cluster,max_label,max_proportion
0,fulldim7,0.15634218
1,fulldim7,0.15384616
2,fulldim7,0.24778387
3,major7,0.16129032
4,major7,0.125
5,major7,0.1358396
6,minormajor7,0.23226774
7,minor7,0.13785714
8,majorminor7,0.14494382
9,augminor7,0.20949721
10,minor7,0.12732096
11,fulldim7,0.12840466
12,augminor7,0.137359
13,augminor7,0.15085536
14,halfdim7,0.126943
15,major7,0.13544019
16,fulldim7,0.16130918
17,fulldim7,0.14326018
18,minor7,0.14338575
19,fulldim7,0.29537874
20,major7,0.12903225
21,minor7,0.12679163
22,major7,0.1254902
23,major7,0.125
