dyn_category,proportion
flat,0.21774193548387097
subp,0.18346774193548387
subf,0.17943548387096775
hairpin,0.16733870967741934
revhairpin,0.1532258064516129
decresc,0.05443548387096774
cresc,0.04435483870967742
