poly,proportion
2a5,0.036791006642820645
3a4,0.036791006642820645
4a5,0.036791006642820645
4a7,0.036791006642820645
5a7,0.036791006642820645
5a8,0.036791006642820645
6a7,0.036791006642820645
7a9,0.036791006642820645
7a11,0.036791006642820645
8a9,0.036791006642820645
8a11,0.036791006642820645
4a9,0.036280020439448134
5a6,0.036280020439448134
5a9,0.036280020439448134
7a8,0.036280020439448134
2a3,0.03576903423607562
3a5,0.03576903423607562
3a7,0.03576903423607562
7a10,0.03576903423607562
5a11,0.03525804803270312
6a11,0.03525804803270312
7a12,0.03525804803270312
2a7,0.03474706182933061
3a8,0.03474706182933061
9a11,0.0342360756259581
11a12,0.0342360756259581
10a11,0.032192130812468064
9a10,0.031170158405723045
