poly,proportion
4a9,0.059233449477351915
2a5,0.059233449477351915
3a8,0.05574912891986063
2a7,0.05574912891986063
5a11,0.04878048780487805
3a5,0.04878048780487805
4a5,0.04529616724738676
3a4,0.04529616724738676
5a9,0.03832752613240418
6a11,0.03832752613240418
3a7,0.03832752613240418
5a8,0.03484320557491289
7a9,0.0313588850174216
6a7,0.0313588850174216
7a8,0.0313588850174216
7a10,0.0313588850174216
4a7,0.0313588850174216
5a6,0.0313588850174216
5a7,0.0313588850174216
2a3,0.0313588850174216
7a11,0.027874564459930314
7a12,0.024390243902439025
8a9,0.024390243902439025
9a10,0.024390243902439025
8a11,0.020905923344947737
9a11,0.020905923344947737
10a11,0.020905923344947737
11a12,0.017421602787456445
