poly,proportion
9a10,0.06818181818181818
10a11,0.06818181818181818
11a12,0.06818181818181818
7a10,0.0625
7a11,0.0625
8a9,0.0625
8a11,0.0625
9a11,0.0625
7a8,0.056818181818181816
7a9,0.056818181818181816
6a11,0.05113636363636364
7a12,0.05113636363636364
6a7,0.045454545454545456
4a9,0.028409090909090908
5a6,0.028409090909090908
5a9,0.028409090909090908
5a11,0.028409090909090908
3a7,0.017045454545454544
3a8,0.017045454545454544
4a7,0.017045454545454544
5a7,0.017045454545454544
5a8,0.017045454545454544
3a5,0.011363636363636364
4a5,0.011363636363636364
